Sr.,Particulars,,,,Qty,Rate,Total,,Date
34,printed dial cd 70-ACL,,,,224,14,3136,,
35,,,,,,,11592,,
26,Cover Set 125,,,,527,110,57970,,25-Oct-11
37,Cover Set 125,,,,1007,110,110770,,27-Oct
38,Upper Cover 70 New,,,,751,40,30040,,15-Nov
39,Back Cover 70,,,,1421,31,44051,,
40,Housing 70,,,,695,9,6255,,
41,Cover Set 125,,,,310,110,34100,,
42,,,,,,,114446,,
43,Printed Dial 70 PGP,,,,1000,14,14000,,26-Nov
44,Cover Set 125,,,,300,110,33000,,
45,Dial Blank 125,,,,2000,8,16000,,
46,Upper Cover 70,,,,1001,40,40040,,
47,Back Cover 70,,,,816,31,25296,,
48,Housing 70,,,,1699,9,15291,,
49,Cover Set 125,,,,472,110,51920,,
50,,,,,,,195547,,
1,Upper Cover 70,,,,498,40,19920,,09-Dec-11
2,Cover Set Sohrab JS,,,,100,110,11000,,
3,Upper Cover 70,,,,1360,40,54400,,
4,Back Cover 70,,,,1295,31,40145,,
5,Housing 70,,,,1384,9,12456,,
6,Cover Set 125,,,,750,110,82500,,
7,Printed Dial 70 PGP,,,,360,14,5040,,
8,Printed Dial 70 PGP,,,,300,14,4200,,
9,,,,,,,229661,,
10,Cover Set 125,,,,308,110,33880,,20-Dec-11
11,Cover Set 70,,,,1164,80,93120,,24-Dec-11
12,Cover Set 125,,,,593,110,65230,,
13,,,,,,,158350,,
14,Cover Set 125,,,,300,110,33000,,05-Jan-12
15,Cover Set 125,,,,208,110,22880,,07-Jan-12
16,Cover Set 125,,,,302,110,33220,,12-Jan-12
17,Cover Set 125,,,,1000,110,110000,,17-Jan-12
18,Cover Set 70,,,,222,80,17760,,
19,,,,,,,127760,,
20,,,,,,,0,,
21,,,,,,,0,,
22,,,,,,,0,,
23,,,,,,,0,,
24,,,,,,,0,,
25,,,,,,,0,,
26,,,,,,,0,,
27,,,,,,,0,,
28,,,,,,,0,,
29,,,,,,,0,,
30,,,,,,,0,,
31,,,,,,,0,,
32,,,,,,,0,,
33,,,,,,,0,,
34,,,,,,,0,,
35,,,,,,,0,,
36,,,,,,,0,,
37,,,,,,,0,,
38,,,,,,,0,,
39,,,,,,,0,,
40,,,,,,,0,,
41,,,,,,,0,,
42,,,,,,,0,,
43,,,,,,,0,,
44,,,,,,,0,,
45,,,,,,,0,,
46,,,,,,,0,,
47,,,,,,,0,,
48,,,,,,,0,,
49,,,,,,,0,,
50,,,,,,,0,,
