Sr.,Particulars,,,,Qty,Rate,Total,,Date
4,Upper Cover Unique,,,,83,36,2988,,30-Mar-12
5,Upper Cover Unique,,,,250,36,9000,,
6,Upper Cover Unique,,,,220,36,7920,,
7,Back Cover 70,,,,308,30,9240,,
8,Housing 70,,,,274,9,2466,,
9,Upper Cover Unique,,,,83,36,2988,,
10,,,,,,,34602,,
11,Upper Cover Unique,,,,157,36,5652,,31-Mar-12
12,Upper Cover Unique,,,,370,36,13320,,
13,Upper Cover Unique,,,,83,36,2988,,
14,Back Cover 70,,,,308,30,9240,,
15,Housing 70,,,,340,9,3060,,
16,,,,,,,34260,,
17,Upper Cover Unique,,,,572,36,20592,,03-Apr-12
18,Back Cover 70,,,,231,30,6930,,
19,Housing 70,,,,260,9,2340,,
20,,,,,,,29862,,
21,Upper Cover Unique,,,,183,36,6588,,04-Apr-12
22,Back Cover 70,,,,99,30,2970,,
23,Housing 70,,,,831,9,7479,,
24,,,,,,,17037,,
25,Upper Cover Unique,,,,372,36,13392,,05-Apr-12
26,Back Cover 70,,,,263,30,7890,,
27,Housing 70,,,,540,9,4860,,
28,,,,,,,26142,,
29,Upper Cover Unique,,,,141,36,5076,,06-Apr-12
30,Housing 70,,,,435,9,3915,,
31,,,,,,,8991,,
32,Back Cover 70,,,,247,30,7410,,07-Apr-12
33,Upper Cover Unique,,,,453,36,16308,,
34,Back Cover 70,,,,308,30,9240,,
35,Housing 70,,,,278,9,2502,,
36,,,,,,,35460,,
37,Back Cover 70,,,,373,30,11190,,09-Apr-12
38,Upper Cover Unique,,,,323,36,11628,,10-Apr-12
0,Back Cover 70,,,,492,30,14760,,
40,Housing 70,,,,420,9,3780,,
41,,,,,,,30168,,
42,Back Cover 70,,,,477,30,14310,,11-Apr-12
43,Housing 70,,,,230,9,2070,,
44,,,,,,,16380,,
45,Upper Cover Unique,,,,176,36,6336,,12-Apr-12
46,Back Cover 70,,,,282,30,8460,,
47,Housing 70,,,,270,9,2430,,
48,,,,,,,17226,,
49,Dial Blank Qinque,,,,200,12,2400,,12-Apr-12
50,Dial Blank 70,,,,2000,9,18000,,
51,,,,,,,20400,,
1,Upper Cover Unique,,,,156,36,5616,,13-Apr-12
2,Upper Cover Unique,,,,222,36,7992,,
3,Back Cover 70,,,,263,30,7890,,
4,,,,,,,21498,,
5,Upper cover Sohrab JS,,,,100,45,4500,,14-Apr-12
6,Housing Sohrab Js,,,,100,30,3000,,
7,Nest Sohrab Js,,,,100,15,1500,,
8,Upper Cover Qinque,,,,175,40,7000,,
9,Housing Qinque,,,,224,30,6720,,
10,Nest Qinque,,,,200,15,3000,,
11,,,,,,,25720,,
12,Upper Cover Unique,,,,118,36,4248,,17-Apr-12
13,Upper Cover Unique,,,,388,36,13968,,
14,Back Cover 70,,,,288,30,8640,,
15,Housing 70,,,,286,9,2574,,
16,,,,,,,29430,,
17,Dial Blank 70,,,,500,9,4500,,19-Apr-12
18,Dial Blank 70,,,,500,9,4500,,
19,Upper Cover Unique,,,,462,36,16632,,
20,Back Cover 70,,,,390,30,11700,,
21,Housing 70,,,,480,9,4320,,
22,,,,,,,41652,,
23,Upper Cover Unique,,,,,,0,,23-Apr-12
24,Back Cover 70,,,,,,0,,
25,Housing 70,,,,,,0,,
26,,,,,,,0,,
27,Upper Cover Unique,,,,304,36,10944,,25-Apr-12
28,Back Cover 70,,,,335,30,10050,,
29,Housing 70,,,,330,9,2970,,
30,,,,,,,23964,,
31,Upper Cover Unique,,,,816,36,29376,,26-Apr-12
32,Back Cover 70,,,,911,30,27330,,
33,Housing 70,,,,765,9,6885,,
34,,,,,,,63591,,
35,Upper Cover Unique,,,,758,36,27288,,27-Apr
36,Back Cover 70,,,,556,30,16680,,
37,Housing 70,,,,252,9,2268,,
38,,,,,,,46236,,
0,Back Cover 70,,,,102,30,3060,,28-Apr-12
40,Back Cover 70,,,,426,30,12780,,
41,Housing 70,,,,410,9,3690,,
42,,,,,,,19530,,
43,Upper Cover Unique,,,,444,36,15984,,02-May
44,Back Cover 70,,,,186,30,5580,,
45,Housing 70 Black,,,,171,9,1539,,
46,Dial Blank Qinque,,,,700,12,8400,,
47,,,,,,,31503,,
48,Upper Cover Unique,,,,444,36,15984,,03-May-12
49,Back Cover 70,,,,331,30,9930,,
50,Housing 70 Black,,,,334,9,3006,,
51,,,,,,,28920,,
1,Upper Cover Unique,,,,510,36,18360,,04-May-12
2,Back Cover 70,,,,575,30,17250,,
3,Housing 70 ,,,,578,9,5202,,
4,,,,,,,40812,,
5,Upper Cover Unique,,,,388,36,13968,,05-May-12
6,Back Cover 70,,,,408,30,12240,,
7,Housing 70 ,,,,318,9,2862,,
8,,,,,,,29070,,
9,Back Cover 70,,,,297,30,8910,,07-May
10,Housing 70 ,,,,210,9,1890,,
11,,,,,,,10800,,
12,Back Cover 70,,,,789,30,23670,,08-May-12
13,Housing 70 ,,,,237,9,2133,,
14,,,,,,,25803,,
15,Upper Cover 70,,,,63,36,2268,,09-May-12
16,Back Cover 70,,,,50,30,1500,,
17,Upper Cover Unique,,,,222,36,7992,,
18,Housing 70,,,,631,9,5679,,
19,,,,,,,17439,,
20,Upper Cover Unique,,,,222,36,7992,,10-May-12
21,Back Cover 70,,,,372,30,11160,,
22,Housing 70 ,,,,327,9,2943,,
23,,,,,,,22095,,
24,Upper Cover Qinque ,,,,724,46,33304,,12-May-12
25,back Cover Qinque,,,,805,15,12075,,
26,Nest Qinque,,,,805,15,12075,,
27,,,,,,,57454,,
28,Upper Cover Qinque,,,,82,46,3772,,15-May-12
29,Housing qinque,,,,41,35,1435,,
30,Housing qinque,,,,338,35,11830,,
31,Housing sohrab JS,,,,380,35,13300,,
32,Nest Sohrab JS,,,,400,15,6000,,
33,Dial Blank Sohrab Js,,,,500,12,6000,,
34,,,,,,,42337,,
35,Upper Cover Sohrab Js,,,,409,45,18405,,17-May-12
36,Back Cover Sohrab Js,,,,405,15,6075,,
37,,,,,,,24480,,
38,Upper Cover habib,,,,366,36,13176,,18-May-12
0,back Cover Habib,,,,820,30,24600,,
40,Housing 70,,,,812,9,7308,,
41,,,,,,,45084,,
42,back Cover Habib,,,,189,30,5670,,19-May-12
43,Housing 70,,,,240,9,2160,,
44,,,,,,,7830,,
45,Upper Cover Habib,,,,471,36,16956,,22-May
46,Upper Cover Habib,,,,92,36,3312,,
47,back Cover 70,,,,408,30,12240,,
48,Housing 70,,,,434,9,3906,,
49,,,,,,,36414,,
50,back Cover 70,,,,381,30,11430,,23-May-12
51,Housing 70,,,,263,9,2367,,
52,,,,,,,13797,,
2,,,,,,,0,,
3,,,,,,,0,,
4,,,,,,,0,,
5,,,,,,,0,,
6,,,,,,,0,,
7,,,,,,,0,,
8,,,,,,,0,,
9,,,,,,,0,,
10,,,,,,,0,,
11,,,,,,,0,,
12,,,,,,,0,,
13,,,,,,,0,,
14,,,,,,,0,,
15,,,,,,,0,,
16,,,,,,,0,,
17,,,,,,,0,,
18,,,,,,,0,,
19,,,,,,,0,,
20,,,,,,,0,,
21,,,,,,,0,,
22,,,,,,,0,,
23,,,,,,,0,,
24,,,,,,,0,,
25,,,,,,,0,,
26,,,,,,,0,,
27,,,,,,,0,,
28,,,,,,,0,,
29,,,,,,,0,,
30,,,,,,,0,,
31,,,,,,,0,,
32,,,,,,,0,,
33,,,,,,,0,,
34,,,,,,,0,,
35,,,,,,,0,,
36,,,,,,,0,,
37,,,,,,,0,,
38,,,,,,,0,,
0,,,,,,,0,,
40,,,,,,,0,,
41,,,,,,,0,,
42,,,,,,,0,,
43,,,,,,,0,,
44,,,,,,,0,,
45,,,,,,,0,,
46,,,,,,,0,,
47,,,,,,,0,,
48,,,,,,,0,,
49,,,,,,,0,,
50,,,,,,,0,,
51,,,,,,,0,,
2,,,,,,,0,,
3,,,,,,,0,,
4,,,,,,,0,,
5,,,,,,,0,,05-May-12
6,,,,,,,0,,
7,,,,,,,0,,
8,,,,,,,0,,
