Sr.,Particulars,Qty,Rate,Total,,,
875,Back  Cover  70,466,30,13980,,,
876,Housing  70 Black,355,10,3550,,,
877,Housing  70 blue,360,10,3600,,,
878,Nest Sohrab,340,20,6800,,,
879,,,,38874,,,
880,Upper Cover Window,450,36,16200,,,
881,Back  Cover  70,582,30,17460,,,
882,Housing  70 Black,530,10,5300,,,
883,,,,38960,,,
884,Upper cover Soharb js,417,45,18765,,,
885,Upper Cover Window,408,36,14688,,,
886,,,,33453,,,
887,Upper Cover Window,608,36,21888,,,
888,Dial Blank sohrab JS,1000,12,12000,,,
889,Back  Cover  70,324,30,9720,,,
890,Housing  70 Black,390,10,3900,,,
891,,,,25620,,,
892,Upper Cover Window,439,36,15804,,,
893,Back  Cover  70,474,30,14220,,,
894,Housing  70 Black,530,10,5300,,,
895,,,,35324,,,
896,Back  Cover  70,1016,30,30480,,,
897,Housing  70,780,10,7800,,,
898,,,,38280,,,
899,Upper Cover Window,710,36,25560,,,
900,Back  Cover  70,666,30,19980,,,
901,Housing  70 Black,1016,10,10160,,,
902,,,,55700,,,
903,Upper Cover Window,243,36,8748,,,
904,Back  Cover  70,696,30,20880,,,
905,Housing  70 Black,654,10,6540,,,
906,,,,36168,,,
907,Upper Cover 70 New,568,36,20448,,,
908,Upper Cover Window,580,36,20880,,,
909,Back  Cover  70,542,30,16260,,,
910,Housing  70 Black,488,10,4880,,,
911,,,,62468,,,
912,Upper Cover Window,728,36,26208,,,
913,Back  Cover  70,555,30,16650,,,
914,Housing  70 Black,630,10,6300,,,
915,,,,49158,,,
916,Upper Cover Window,812,36,29232,,,
917,Back  Cover  70,533,30,15990,,,
918,Housing  70 Black,360,10,3600,,,
919,,,,48822,,,
920,Upper Cover Window,1248,36,44928,,,
921,Back  Cover  70,933,30,27990,,,
922,Housing  70 Black,1152,10,11520,,,
923,,,,84438,,,
924,Upper Cover Window,170,36,6120,,,
925,Upper Cover Zxmco,537,36,19332,,,
926,Back  Cover  70,709,30,21270,,,
927,Housing 70 Black,1232,10,12320,,,
928,upper Cover Soharb js,240,45,10800,,,
929,housing sohrab,250,33,8250,,,
930,Nest Sohrab,300,20,6000,,,
931,,,,84092,,,
932,Upper Cover Window,752,36,27072,,,
933,Back  Cover  70,600,30,18000,,,
934,Back  Cover  70 Hole,849,30,25470,,,
935,Housing  70 Black,774,10,7740,,,
936,,,,78282,,,
937,Upper Cover Window,752,36,27072,,,
938,Back  Cover  70,771,30,23130,,,
939,Housing  70 Black,825,10,8250,,,
940,,,,58452,,,
941,Upper Cover Window,252,36,9072,,,
942,Back  Cover  70,512,30,15360,,,
943,Housing  70 Black,530,10,5300,,,
944,,,,29732,,,
945,Upper Cover Window,728,36,26208,,,
946,Upper Cover Window,539,36,19404,,,
947,Back  Cover  70,957,30,28710,,,
948,Housing  70 Black,810,10,8100,,,
949,,,,56214,,,
950,Upper Cover Window,1150,36,41400,,,
951,Housing 70 Black,1100,10,11000,,,
952,,,,52400,,,
953,Upper Cover Window,358,36,12888,,,
954,Back  Cover  70,696,30,20880,,,
955,Housing  70 Black,514,10,5140,,,
956,,,,38908,,,
957,Upper Cover Window,731,36,26316,,,
958,Back  Cover  70,222,30,6660,,,
959,Housing  70 Black,540,10,5400,,,
960,,,,38376,,,
961,Upper Cover Soharb js,509,45,22905,,,
962,back Cover sohrab,700,20,14000,,,
963,nest sohrab js,500,20,10000,,,
964,Back  Cover  70,1011,30,30330,,,
965,Housing  70 Black,540,10,5400,,,
966,,,,82635,,,
967,Upper Cover Window,873,36,31428,,,
